normalized_text,attr_mnn,attr_rx_otc,mnn_uteka,rx_uteka,mnn_asna,rx_asna,mnn_apteka,rx_apteka,mnn_vidal,rx_vidal,mnn_stolichki,rx_stolichki,win_mnn,win_rx_otc,product_id,run_id,product_kind,attr_brand,attr_dosage_form,attr_dosage,attr_administration_route,semantic_explanation,qwen_search_status,qwen_search_mnn
ДАЛЬФАЗ СР ТАБЛ. ПРОЛОНГ. 10МГ №30 | САНОФИ ВИНТРОП ИНДУСТРИЯ | САНОФИ ВИНТРОП ИНДУСТРИЯ,,рецептурный,Алфузозин,rx,,,,,Алфузозин,rx,,,Алфузозин,rx,20683,369,drug,ДАЛЬФАЗ СР,таблетки,10 мг,перорально,"По наименованию и форме определены лекарственная форма, дозировка и упаковка: таблетки пролонгированного действия, 10 мг, №30. Активное вещество в тексте не указано, поэтому МНН не проставлен. Препарат урологического профиля, применяется у взрослых.",api_error,
ДАЛЬНЕВА ТАБЛ. 5МГ+4МГ №90 | КРКА-РУС ООО | КРКА-РУС ООО,,rx,,,Амлодипин + Индапамид + Периндоприл,rx,,,Амлодипин,rx,,,"Амлодипин, Индапамид, Периндоприл",rx,20687,369,drug,Дальнева,таблетки,5 мг + 4 мг,перорально,"В тексте указано торговое наименование «Дальнева», таблетированная форма, дозировка 5 мг + 4 мг и упаковка №90. Действующие вещества явно не перечислены, поэтому МНН оставлен пустым. Препарат относится к сердечно-сосудистому классу, комбинированный, принимается перорально.",api_error,
ДАЙВОБЕТ МАЗЬ Д/НАРУЖ. ПРИМ. ТУБА 15Г | ЛЕО ЛЭБОРАТОРИС ЛИМИТЕД | ЛЕО ЛЭБОРАТОРИС ЛИМИТЕД,,rx,Бетаметазон + Кальципотриол,otc,Бетаметазон* + Кальципотриол,otc,,,Кальципотриол,otc,,,"Кальципотриол, Бетаметазон",otc,20699,369,drug,Дайвобет,мазь,,наружно,"Препарат Дайвобет представлен как мазь для наружного применения в тубе 15 г. Действующие вещества в тексте явно не указаны, поэтому МНН не заполнен; форма выпуска и способ применения читаются из названия.",api_error,
ГЭВКАМЕН МАЗЬ Д/НАРУЖ. ПРИМ. БАНКА 25Г ТУЛЬСКАЯ ФФ | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО | ТУЛЬСКАЯ ФАРМАЦЕВТИЧЕСКАЯ ФАБРИКА ООО,,otc,Эвкалипта шарикового листьев+масло Камфоры+Левоментол,otc,Бромкамфора+Левоментол+Эвкалипта прутовидного листьев масло,otc,,,Камфора,otc,,,"Левоментол, Бромкамфора, Эвкалипта прутовидного листьев масло, Эвкалипта шарикового листьев, масло Камфоры",otc,20731,369,drug,ГЭВКАМЕН,мазь,,наружно,"Препарат идентифицирован как мазь для наружного применения под брендом ГЭВКАМЕН; product_family указывает на опорно-двигательный аппарат. Действующее вещество и концентрация в тексте не указаны, поэтому mnn, dosage и combination_hint не заполнены. Отпуск безрецептурный.",api_error,
ГРАНДАПАМ ТАБЛ. 50МГ №60 | ФАРМАСИНТЕЗ АО | ФАРМАСИНТЕЗ АО,,рецептурный,Тофизопам,rx,Тофизопам,rx,,,Тофизопам,rx,,,Тофизопам,rx,20840,369,drug,Грандапам,таблетки,50 мг,перорально,"В названии указаны лекарственная форма «таблетки», дозировка 50 мг, упаковка №60 и бренд «Грандапам». Препарат относится к рецептурным анксиолитикам, но действующее вещество в тексте не раскрыто, поэтому МНН не заполнено.",api_error,
"ГОНАЛ-Ф Р-Р ДЛЯ П/К ВВЕД. 66МКГ/1,5МЛ (900МЕ) ШПРИЦ-РУЧКА 1,5МЛ №1 +ИГЛЫ №20 | МЕРК СЕРОНО С.П.А. | МЕРК СЕРОНО С.П.А.",,rx,,,Фоллитропин альфа,rx,,,Фоллитропин альфа,rx,,,Фоллитропин альфа,rx,20899,369,drug,Гонал-Ф,раствор,"66 мкг/1,5 мл (900 МЕ)",подкожно,"Препарат Гонал-Ф — рецептурный гормональный лекарственный препарат, выпускаемый в виде раствора для подкожного введения в шприц-ручке. МНН в тексте не указано, поэтому оставлено пустым; возрастных детских указаний нет, препарат типичен для взрослых.",api_error,
ГЛИЦЕРОМ СУПП. РЕКТ. ГОМЕОП. №6 | ДОКТОР Н ООО | ДОКТОР Н ООО,,otc,,otc,,,,,,otc,,,,otc,21047,369,drug,Глицером,,,ректально,"Текст определяет ректальные гомеопатические суппозитории «Глицером» №6 производителя «Доктор Н». Явный МНН, дозировка и состав не указаны, поэтому соответствующие атрибуты оставлены пустыми.",api_error,
ГЛИЦЕРИН Р-Р Д/НАРУЖ. ПРИМ. ФЛ. 25Г ИВАНОВСКАЯ ФФ | ИВАНОВСКАЯ ФФ | ИВАНОВСКАЯ ФФ,Глицерин,otc,Глицерол,otc,,,,,Глицерол,otc,,,Глицерол,otc,21065,369,drug,,раствор,,наружно,"Явное действующее вещество — глицерин, форма — раствор для наружного применения. Препарат безрецептурный, детских сигналов нет, возрастной сегмент — взрослые. Концентрация не указана, указан только объём флакона 25 г.",api_error,
ГИПОСАРТ ТАБЛ. 32МГ №28 | ПОЛЬФАРМА АО | ПОЛЬФАРМА АО,,rx,Кандесартан,rx,Кандесартан,rx,,,Индапамид,rx,,,Кандесартан,rx,21183,370,drug,Гипосарт,таблетки,32 мг,перорально,"Препарат относится к рецептурным гипотензивным средствам, форма и дозировка указаны явно. Действующее вещество в тексте не названо, поэтому МНН не заполнен.",api_error,
ГИПОСАРТ А ТАБЛ. 5МГ+16МГ №30 | АКРИХИН ХФК АО | АКРИХИН ХФК АО,,rx,Амлодипин + Кандесартан,rx,Амлодипин+Кандесартан,rx,,,Амлодипин,rx,,,"Амлодипин, Кандесартан",rx,21189,370,drug,Гипосарт А,таблетки,5 мг + 16 мг,перорально,"В тексте указаны торговое название, лекарственная форма «таблетки», дозировка «5 мг + 16 мг» и упаковка №30. Препарат можно отнести к комбинированным гипотензивным средствам, однако действующие вещества явно не названы, поэтому МНН не заполнен.",api_error,
"ГЕРБИОН ПЛЮЩ ТАБЛ. Д/РАССАС. 35МГ №16 | КРКА, Д.Д., НОВО МЕСТО АО | КРКА, Д.Д., НОВО МЕСТО АО",,безрецептурный,Плюща листьев экстракт,otc,,,,,Плюща обыкновенного листья,otc,,,,otc,21325,370,drug,Гербион Плющ,таблетки,35 мг,перорально,"Препарат Гербион Плющ — растительное отхаркивающее средство в таблетках для рассасывания по 35 мг, в упаковке 16 таблеток. МНН в тексте надёжно не указан, поэтому оставлен пустым.",api_error,
ГЕПАТОСАН КАПС. 200МГ №10 | МЕДМИНИПРОМ ЗАО | МЕДМИНИПРОМ ЗАО,,без рецепта,,,,otc,,,,otc,,,,otc,21349,370,drug,Гепатосан,капсулы,200 мг,перорально,"Гепатосан — гепатопротекторный препарат в капсулах по 200 мг, упаковка №10. Активное вещество/МНН в тексте не указано, поэтому МНН не заполняю; детских указаний нет, возраст — взрослые.",api_error,
ДИНАМИКО ЛОНГ ТАБЛ. П/ПЛЕН/ОБ. 5МГ №14 | ТЕВА ФАРМАЦЕВТИЧЕСКИЕ ПРЕДПРИЯТИЯ ЛТД. | ТЕВА ФАРМАЦЕВТИЧЕСКИЕ ПРЕДПРИЯТИЯ ЛТД.,,rx,Тадалафил,rx,Тадалафил,rx,,,Тадалафил,rx,,,Тадалафил,rx,20162,368,drug,Динамико Лонг,таблетки,5 мг,перорально,"Препарат урологической группы, форма и дозировка читаются из названия: таблетки 5 мг, упаковка №14. Действующее вещество в тексте не указано, поэтому МНН не заполняю; остальные атрибуты определены по форме выпуска и профилю продукта.",found,тадалафил
ГАЛВУС МЕТ ТАБЛ. П/ПЛЕН/ОБ. 50МГ+1000МГ №30 | НОВАРТИС НЕВА ООО | НОВАРТИС НЕВА ООО,,рецептурный,Вилдаглиптин + Метформин,rx,Вилдаглиптин* + Метформин,rx,,,Метформин,rx,,,"Метформин, Вилдаглиптин",rx,21649,371,drug,Галвус Мет,таблетки,50 мг + 1000 мг,перорально,"По тексту определены форма выпуска, дозировка, упаковка и путь введения. Препарат относится к рецептурным сахароснижающим средствам, возрастной сегмент — взрослые. МНН не указан в тексте, поэтому оставлен пустым.",api_error,
ВОДА ДЛЯ ИНЪЕКЦИЙ Р-ТЕЛЬ Д/ЛЕК. ФОРМ Д/ИН. АМП. 5МЛ №10 ДАЛЬХИМФАРМ | ДАЛЬХИМФАРМ ОАО | ДАЛЬХИМФАРМ ОАО,Вода для инъекций,otc,,,,,,,,,,,,,21776,371,drug,,раствор,5 мл,инъекционное,"Препарат представляет собой воду для инъекций (растворитель) в ампулах по 5 мл №10 производства Дальхимфарм. МНН — вода для инъекций, путь введения парентеральный, возрастных ограничений нет.",api_error,
ВОДА ДЛЯ ИНЪЕКЦИЙ Р-ТЕЛЬ Д/ЛЕК. ФОРМ Д/ИН. АМП. 2МЛ №10 ГРОТЕКС | ГРОТЕКС ООО | ГРОТЕКС ООО,Вода для инъекций,otc,,,,,,,,,,,,,21784,371,drug,,раствор,2 мл,инъекционное,"В тексте явно указана вода для инъекций как растворитель для лекарственных форм для инъекций в ампулах по 2 мл №10, торгового названия нет. Это вспомогательный раствор без терапевтической специфики, отпускается без рецепта. Возрастная группа не указана, поэтому для типичного лекарственного средства принята как взрослая.",api_error,
ВИУМКСИДИН Р-Р ДЛЯ В/ПОЛОСТН. ВВЕД. И НАРУЖ. ПРИМ. 10МГ/МЛ АМП. 10МЛ №10 | Армавирская биофабрика ФКП | Армавирская биофабрика ФКП,,рецептурный,Гидроксиметилхиноксалиндиоксид,rx,Гидроксиметилхиноксалиндиоксид,rx,,,Гидроксиметилхиноксалиндиоксид,rx,,,Гидроксиметилхиноксалиндиоксид,rx,21938,371,drug,ВИУМКСИДИН,раствор,10 мг/мл,наружно,"Препарат представляет собой раствор для внутриполостного введения и наружного применения в ампулах по 10 мл №10, концентрация 10 мг/мл. Действующее вещество в тексте не читается как МНН, поэтому mnn не указан. По характеру применения отнесён к антисептикам; детских указаний нет, типичный лекарственный препарат для взрослых.",api_error,
ВИЛЬПРАФЕН СОЛЮТАБ ТАБЛ. ДИСПЕРГ. 1000МГ №10 | ФАМАР ЛИОН | ФАМАР ЛИОН,,rx,Джозамицин,rx,,,,,Джозамицин,rx,,,Джозамицин,rx,22393,372,drug,Вильпрафен Солютаб,таблетки,1000 мг,перорально,"Препарат Вильпрафен Солютаб — диспергируемые таблетки 1000 мг, в упаковке 10 штук. МНН в тексте не указан, поэтому он не заполнен. Применяется внутрь, отпускается по рецепту.",api_error,
ВЕНЛАФАКСИН-АЛСИ ТАБЛ. 75МГ №50 | АЛСИ ФАРМА АО | АЛСИ ФАРМА АО,Венлафаксин,rx,Венлафаксин,rx,Венлафаксин,rx,,,Венлафаксин,rx,,,Венлафаксин,rx,22647,372,drug,Венлафаксин-Алси,таблетки,75 мг,перорально,"Препарат содержит венлафаксин, указанный в названии, в форме таблеток по 75 мг, упаковка №50. Это рецептурный антидепрессант, применяемый внутрь. Возрастная группа — взрослые, детских указаний нет.",api_error,
ВЕЛФЕРРУМ Р-Р ДЛЯ В/В ВВЕД. 20МГ/МЛ АМП. 5МЛ №5 | ВЕЛФАРМ ООО | ВЕЛФАРМ ООО,,rx,Железа (III) гидроксид сахарозный комплекс,rx,Железа,rx,,,Железо-сахарозный комплекс,rx,,,Железа комплекс,rx,22677,372,drug,Велферрум,раствор,20 мг/мл,внутривенно,"Препарат Велферрум представляет собой раствор для внутривенного введения 20 мг/мл в ампулах по 5 мл. Действующее вещество в тексте явно не указано, поэтому МНН не заполнено. Судя по названию и группе, это препарат железа, применяется у взрослых.",api_error,
ВЕЛДЕКСАЛ ТАБЛ. П/ПЛЕН/ОБ. 25МГ №10 | ВЕЛФАРМ ООО | ВЕЛФАРМ ООО,,,Декскетопрофен,otc,Декскетопрофен,otc,,,Декскетопрофен,rx,,,Декскетопрофен,otc,22701,373,drug,Велдексал,таблетки,25 мг,перорально,"Торговое наименование — Велдексал, форма и дозировка читаются явно. Действующее вещество и рецептурный статус в тексте отсутствуют, поэтому mnn и rx_otc не заполнены. На основе семейства 'Боль и Температура' выбрана терапевтическая группа анальгетик-антипиретик.",api_error,
"ВЕЛГИЯ Р-Р П/К ВВЕД. 2,4МГ/ДОЗА ШПРИЦ-РУЧКА 3МЛ №1+ИГЛА №5 | МЕДСИНТЕЗ ЗАВОД/БИОХИМИК АО | МЕДСИНТЕЗ ЗАВОД/БИОХИМИК АО",,rx,Семаглутид,rx,Семаглутид,rx,,,Семаглутид,rx,,,Семаглутид,rx,22703,373,drug,Велгия,раствор,"2,4 мг/доза",подкожно,"Из текста определены лекарственная форма, дозировка, способ введения и упаковка. Действующее вещество в тексте не указано, поэтому МНН и нозология не заполнены. Препарат в шприц-ручке для подкожного введения относится к рецептурным.",api_error,
ВАНКОМИЦИН ПОР. Д/Р-РА Д/ИНФ. И ПРИЕМА ВНУТРЬ 1Г ФЛ. №1 ИНТЕРФАРМА | ИНТЕРФАРМА ООО | ИНТЕРФАРМА ООО,Ванкомицин,rx,,,,,,,,,,,,,22817,373,drug,,порошок,1 г,внутривенно,"В тексте указано МНН ванкомицин, лекарственная форма порошка для приготовления раствора для инфузий и приема внутрь, дозировка 1 г во флаконе. Это рецептурный антибиотик, возрастных указаний нет, поэтому выбран сегмент «взрослые».",api_error,
"ВАЛОКОРДИН ТАБЛ. 7,544МГ+7,544МГ №20 | УСОЛЬЕ-СИБИРСКИЙ ХИМИКО-ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО | УСОЛЬЕ-СИБИРСКИЙ ХИМИКО-ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД АО",,otc,,,Фенобарбитал+Этилбромизовалерианат,otc,,,Фенобарбитал,otc,,,"Фенобарбитал, Этилбромизовалерианат",otc,22881,373,drug,Валокордин,таблетки,"7,544 мг + 7,544 мг",перорально,"Валокордин — комбинированный седативный препарат в таблетках для приёма внутрь. В тексте указаны дозировка 7,544 мг+7,544 мг и упаковка №20, но названия действующих веществ отсутствуют, поэтому МНН не заполнен.",api_error,
ВАЛИДОЛ ТАБЛ. П/ЯЗЫЧН. 60МГ №16 ОБНОВЛЕНИЕ | ОБНОВЛЕНИЕ ПФК АО | ОБНОВЛЕНИЕ ПФК АО,,otc,Левоментола раствор в ментил изовалерате,otc,Левоментола раствор в ментил изовалерате,otc,,,Левоментола раствор в ментилизовалерате,otc,,,Левоментола раствор в ментил изовалерате,otc,22890,373,drug,ВАЛИДОЛ,таблетки,60 мг,сублингвально,"Препарат Валидол выпускается в виде таблеток для подъязычного применения с дозировкой 60 мг. Относится к седативным средствам, отпускается без рецепта. МНН и состав не указаны в тексте.",api_error,
ВАЛИДОЛ ТАБЛ. П/ЯЗЫЧН. 60МГ №10 ЮЖФАРМ | ЮЖФАРМ ООО | ЮЖФАРМ ООО,,otc,Левоментола раствор в ментил изовалерате,otc,Левоментола раствор в ментил изовалерате,otc,,,Левоментола раствор в ментилизовалерате,otc,,,Левоментола раствор в ментил изовалерате,otc,22891,373,drug,Валидол,таблетки,60 мг,сублингвально,"Из текста извлечены форма выпуска, дозировка и количество в упаковке. Действующее вещество не указано, поэтому МНН не заполнен; препарат безрецептурный.",api_error,
ВАЛЕМИДИН ПЛЮС СИРОП БЕЗ САХАРА ФЛ. 100МЛ | ФАРМАМЕД ООО | ФАРМАМЕД ООО,,otc,,,,otc,,,,otc,,,,otc,22968,373,drug,Валемидин Плюс,сироп,,перорально,"В тексте указано только торговое наименование, состав не раскрыт, поэтому МНН не определяется. Препарат относится к нервной системе и выпускается в форме сиропа для приема внутрь. Судя по названию и форме выпуска, это безрецептурное седативное средство.",api_error,
ВАЛАЦИКЛОВИР ТАБЛ. П/ПЛЕН/ОБ. 500МГ №10 РОЗЛЕКС ФАРМ | РОЗЛЕКС ФАРМ | РОЗЛЕКС ФАРМ,Валацикловир,rx,Валацикловир,rx,,,,,,,,,Валацикловир,,22979,373,drug,,таблетки,500 мг,перорально,"Препарат Валацикловир в таблетках по 500 мг, покрытых пленочной оболочкой, производитель Розлекс Фарм. Это рецептурное противовирусное средство для приема внутрь, применяемое при герпетических инфекциях. Упаковка содержит 10 таблеток.",api_error,
БУТАДИОН-АЛИУМ ТАБЛ. 150МГ №20 | АЛИУМ АО | АЛИУМ АО,,rx,Фенилбутазон,rx,,,,,Фенилбутазон,rx,,,Фенилбутазон,rx,23099,374,drug,Бутадион-Алиум,таблетки,150 мг,перорально,"Торговое наименование «Бутадион-Алиум» содержит дозировку 150 мг и форму «таблетки», упаковка №20. Действующее вещество (МНН) в тексте отдельно не указано, поэтому mnn не заполнено. Препарат относится к НПВС для приёма внутрь, отпускается по рецепту.",api_error,
"БИФИДУМБАКТЕРИН ФОРТЕ ПОР. Д/ПРИЕМА ВНУТРЬ 50МЛН.КОЕ/ПАКЕТ ПАК. 0,85Г №30 ПРОБИОФАРМ | ПРОБИОФАРМ ООО | ПРОБИОФАРМ ООО",Бифидобактерии бифидум,otc,,,Бифидобактерии бифидум,otc,,,Бифидобактерии бифидум,otc,,,Бифидобактерии бифидум,otc,23521,375,drug,Бифидумбактерин Форте,порошок,50 млн КОЕ/пакет,перорально,"Пробиотик с бифидобактериями (бифидобактерии бифидум) в форме порошка для приема внутрь. Дозировка 50 млн КОЕ/пакет, в упаковке 30 пакетов по 0,85 г. Отпускается без рецепта.",api_error,
БИСОМОР ТАБЛ. П/ПЛЕН/ОБ. 5МГ №30 | ЭДЖ ФАРМА ПРАЙВЕТ ЛИМИТЕД | ЭДЖ ФАРМА ПРАЙВЕТ ЛИМИТЕД,,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,Бисопролол,rx,,,Бисопролол,rx,23645,375,drug,Бисомор,таблетки,5 мг,перорально,"Препарат Бисомор выпускается в таблетках, покрытых плёночной оболочкой, по 5 мг, в упаковке №30. МНН в тексте не указан, поэтому оставлен null; по кардиологической группе средство определено как рецептурное для взрослых.",api_error,
БЕТАДИН СУПП. ВАГ. 200МГ №7 | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО | ЭГИС ФАРМАЦЕВТИЧЕСКИЙ ЗАВОД ЗАО,,otc,Повидон-йод,otc,Повидон-йод,otc,,,Повидон-йод,otc,,,Повидон-йод,otc,24070,375,drug,Бетадин,,200 мг,ректально,"В тексте указан препарат Бетадин в форме вагинальных суппозиториев по 200 мг, упаковка №7. Действующее вещество явно не написано, поэтому mnn не заполнен. Препарат относится к местным антисептикам и предназначен для взрослых.",api_error,
"БЕРГОЛАК ТАБЛ. 0,5МГ №2 | ВЕРОФАРМ ООО | ВЕРОФАРМ ООО",,рецептурный,Каберголин,rx,Каберголин,rx,,,Каберголин,rx,,,Каберголин,rx,24163,375,drug,Берголак,таблетки,"0,5 мг",перорально,"Наименование Берголак, лекарственная форма таблетки 0,5 мг и упаковка №2 читаются из текста. МНН в тексте отсутствует, поэтому не указан. Препарат относится к рецептурным, но показания из текста не определяются.",api_error,
"БЕКЛАЗОН ЭКО АЭРОЗ. Д/ИНГ. ДОЗИР. 100МКГ/ДОЗА БАЛЛОН 200ДОЗ | НОРТОН (ВОТЕРФОРД) ЛТД, ВЫСТУПАЮЩИЙ ПОД ТОРГОВЫМ НАИМЕНОВАНИЕМ АЙВЭКС ФАРМАСЬЮТИКАЛС ИРЛАНДИЯ, ВЫСТУПАЮЩИЙ ПОД ТОРГОВЫМ НАИМЕНОВАНИЕМ ТЕВА ФАРМАСЬЮТИК | НОРТОН (ВОТЕРФОРД) ЛТД, ВЫСТУПАЮЩИЙ ПОД ТОРГОВЫМ НАИМЕНОВАНИЕМ АЙВЭКС ФАРМАСЬЮТИКАЛС ИРЛАНДИЯ, ВЫСТУПАЮЩИЙ ПОД ТОРГОВЫМ НАИМЕНОВАНИЕМ ТЕВА ФАРМАСЬЮТИК",,rx,Беклометазон,rx,Беклометазон,rx,,,Беклометазон,rx,,,Беклометазон,rx,24340,375,drug,Беклазон Эко,аэрозоль,100 мкг/доза,ингаляционно,"Препарат Беклазон Эко представляет собой дозированный ингаляционный аэрозоль с концентрацией 100 мкг/доза в баллоне на 200 доз. По тексту явно не указано действующее вещество, поэтому МНН не заполнен. Относится к рецептурным ингаляционным глюкокортикостероидам.",api_error,
АЦИКЛОВИР ВЕЛФАРМ ТАБЛ. 200МГ №20 ВЕЛФАРМ-М | ВЕЛФАРМ-М ООО | ВЕЛФАРМ-М ООО,Ацикловир,rx,Ацикловир,rx,,,,,Ацикловир,rx,,,Ацикловир,rx,24711,376,drug,Ацикловир Велфарм,таблетки,200 мг,перорально,"Препарат содержит МНН ацикловир, выпускается в форме таблеток по 200 мг. Относится к рецептурным противовирусным средствам для приема внутрь. Возрастная группа определена как взрослые в отсутствие детских указаний.",api_error,
АЦИКЛОВИР АВЕКСИМА ТАБЛ. 400МГ №30 | ИРБИТСКИЙ ХИМЗАВОД ОАО | ИРБИТСКИЙ ХИМЗАВОД ОАО,Ацикловир,rx,Ацикловир,rx,Ацикловир,rx,,,Азитромицин,rx,,,Ацикловир,rx,24725,376,drug,Авексима,таблетки,400 мг,перорально,"В тексте однозначно указаны действующее вещество ацикловир, форма «таблетки», дозировка 400 мг и количество в упаковке 30. Препарат относится к противовирусным средствам, принимается внутрь и отпускается по рецепту. Бренд — Авексима, возрастной сигнал отсутствует, поэтому выбран взрослый сегмент.",api_error,
АФОБАЗОЛ РЕТАРД ТАБЛ. С МОДИФ. ВЫСВ. П/ПЛЕН/ОБ. 30МГ №20 ОТИСИФАРМ | ОТИСИФАРМ ПРО АО | ОТИСИФАРМ ПРО АО,,без рецепта,Фабомотизол,otc,Фабомотизол,otc,,,Фабомотизол,otc,,,Фабомотизол,otc,24824,376,drug,Афобазол Ретард,таблетки,30 мг,перорально,"Препарат Афобазол Ретард — анксиолитик в форме таблеток с модифицированным высвобождением по 30 мг для приёма внутрь. Действующее вещество в тексте не указано, поэтому МНН не заполнен. Отпускается без рецепта, предназначен для взрослых.",api_error,
АФЛУБИН ТАБЛ. П/ЯЗЫЧН. ГОМЕОП. №12 | РИХАРД БИТТНЕР АГ | РИХАРД БИТТНЕР АГ,,otc,,otc,,otc,,,,otc,,,,otc,24830,376,drug,Афлубин,таблетки,,,"В тексте указаны торговое название, лекарственная форма «таблетки подъязычные», путь введения и упаковка №12. Действующее вещество и дозировка не приведены, показания не описаны, поэтому часть атрибутов заполнена как null.",api_error,
АТОРИКА ТАБС ТАБЛ. П/ПЛЕН/ОБ. 120МГ №7 | Канонфарма | Канонфарма,,otc,Эторикоксиб,rx,Эторикоксиб,rx,,,Эторикоксиб,rx,,,Эторикоксиб,rx,24893,376,drug,Аторика,таблетки,120 мг,перорально,"В названии указаны торговое наименование, лекарственная форма и дозировка, но действующее вещество явно не приведено, поэтому МНН не определён. По семейству «Боль и Температура» средство отнесено к анальгетикам-антипиретикам для взрослых.",api_error,
АСКОРБИНОВАЯ КИСЛОТА-УБФ ДРАЖЕ 50МГ №200 | УРАЛБИОФАРМ ОАО | УРАЛБИОФАРМ ОАО,Аскорбиновая кислота,otc,Аскорбиновая кислота,otc,,,,,Аскорбиновая кислота,otc,,,Аскорбиновая кислота,otc,25195,377,drug,Аскорбиновая кислота-УБФ,,50 мг,перорально,"Препарат аскорбиновой кислоты (витамин C) в форме драже по 50 мг, принимается внутрь. Отпускается без рецепта, содержит одно действующее вещество. Возрастных указаний нет, поэтому возрастной сегмент определён как взрослые.",api_error,
АРТОКСАН ГЕЛЬ Д/НАРУЖ. ПРИМ. 1% ТУБА 45Г | УОРЛД МЕДИЦИН ИЛАЧ САН. ВЕ ТИДЖ. А.Ш. | УОРЛД МЕДИЦИН ИЛАЧ САН. ВЕ ТИДЖ. А.Ш.,,otc,Теноксикам,rx,Теноксикам,rx,,,Теноксикам,rx,,,Теноксикам,rx,25422,377,drug,Артоксан,гель,1%,наружно,"Препарат идентифицируется по торговому названию 'Артоксан' и форме 'гель 1% для наружного применения' в тубе 45 г. Действующее вещество в тексте не указано, поэтому МНН не заполнено. Отпуск предполагается без рецепта для наружного применения.",api_error,
АРОМАЗИН ТАБЛ. П/О 25МГ №30 | ПФАЙЗЕР ИТАЛИЯ С.Р.Л. | ПФАЙЗЕР ИТАЛИЯ С.Р.Л.,,рецептурный,Эксеместан,rx,Эксеместан,rx,,,Эксеместан,rx,,,Эксеместан,rx,25459,377,drug,Аромазин,таблетки,25 мг,перорально,"Товар идентифицирован как Аромазин, рецептурный гормональный противоопухолевый препарат. В тексте указаны форма выпуска (таблетки покрытые оболочкой), дозировка 25 мг и упаковка №30. МНН в названии не приведён, поэтому оставлен пустым.",api_error,
АНТИГРИППИН ТАБЛ. ШИПУЧ. 500МГ+10МГ+200МГ №10 АПЕЛЬСИН | НАТУР ПРОДУКТ ФАРМА СП.ЗО.О. | НАТУР ПРОДУКТ ФАРМА СП.ЗО.О.,,otc,,,Аскорбиновая кислота+Ацетилсалициловая кислота+Парацетамол+Фенилпропаноламин+Хлорфенамин,otc,,,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Ацетилсалициловая кислота, Парацетамол, Фенилпропаноламин, Хлорфенамин",otc,25642,377,drug,Антигриппин,таблетки,500 мг + 10 мг + 200 мг,перорально,"Комбинированный препарат Антигриппин представлен в форме шипучих таблеток с дозировкой 500 мг + 10 мг + 200 мг, упаковка №10. Активные вещества в тексте явно не указаны, поэтому МНН не заполнен. Препарат относится к симптоматическим средствам для лечения простуды и ОРВИ, отпускается без рецепта.",api_error,
АНТИГРИППИН ПОР. Д/Р-РА Д/ПРИЕМА ВНУТРЬ 500МГ+10МГ+200МГ РОМАШКА ПАК. 5Г №10 | НАТУР ПРОДУКТ ФАРМА СП.ЗО.О. | НАТУР ПРОДУКТ ФАРМА СП.ЗО.О.,,безрецептурный,,,Аскорбиновая кислота+Ацетилсалициловая кислота+Парацетамол+Фенилпропаноламин+Хлорфенамин,otc,,,Аскорбиновая кислота,otc,,,"Аскорбиновая кислота, Ацетилсалициловая кислота, Парацетамол, Фенилпропаноламин, Хлорфенамин",otc,25644,377,drug,Антигриппин,порошок,500 мг + 10 мг + 200 мг,перорально,"Препарат Антигриппин относится к противопростудным средствам. По тексту определены форма выпуска, дозировка и упаковка. МНН в тексте не указан, поэтому поле mnn оставлено пустым.",api_error,
АНГИОРУС ТАБЛ. П/ПЛЕН/ОБ. 50МГ+450МГ №60 | СИНТЕЗ | СИНТЕЗ,,,,,Гесперидин + Диосмин,otc,,,Диосмин,otc,,,"Диосмин, Гесперидин",otc,25702,378,drug,Ангиорус,таблетки,50 мг + 450 мг,перорально,"Препарат выпускается в таблетках, покрытых плёночной оболочкой, с комбинированной дозировкой 50 мг + 450 мг, в упаковке 60 штук. Название торговое, состав не расшифрован, поэтому МНН не указано. Форма выпуска указывает на пероральный приём.",api_error,
АНАЛЬГИН ТАБЛ. 500МГ №30 ФАРМСТАНДАРТ | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО | ФАРМСТАНДАРТ-ЛЕКСРЕДСТВА ОАО,,otc,Метамизол натрия,rx,Метамизол натрия,otc,,,Метамизол натрия,otc,,,Метамизол натрия,otc,25783,378,drug,Анальгин,таблетки,500 мг,перорально,"Препарат Анальгин выпускается в таблетках по 500 мг, №30. Действующее вещество по МНН в тексте явно не указано, поэтому mnn не заполнен. Лекарство относится к безрецептурным анальгетикам-антипиретикам для взрослых.",api_error,
